node_index,gene_id,gene_symbol,baseMean_primary,lfc_shrunk_primary,pvalue_primary,padj_primary,analysis_eligible_primary
0,ENSG00000000003,TSPAN6,791.416613946803,0.303177963995792,0.0319704836893078,0.0926908191241182,True
1,ENSG00000000005,TNMD,NA,NA,NA,NA,False
2,ENSG00000000419,DPM1,309.890647809387,0.0093109124759816,0.926069679890948,0.958632886587143,True
3,ENSG00000000457,SCYL3,582.790981821485,-0.0211088471203105,0.808220408001819,0.883297538359305,True
4,ENSG00000000460,FIRRM,36.2810866929115,-0.0340381551948189,0.772013139730618,0.859145144480192,True
5,ENSG00000000938,FGR,NA,NA,NA,NA,False
6,ENSG00000001036,FUCA2,2007.7092870454,-0.178590433707378,0.0352589350201714,0.0997192772090613,True
7,ENSG00000001084,GCLC,2042.11332089119,-0.0962967916954523,0.23226568769409,0.391058307112258,True
8,ENSG00000001167,NFYA,603.748094820808,0.199958725558582,0.0698926027788744,0.165108802620192,True
9,ENSG00000001460,STPG1,NA,NA,NA,NA,False
10,ENSG00000001461,NIPAL3,4069.90336697122,-0.0550325616880056,0.579167586558003,0.71751287787037,True
11,ENSG00000001497,LAS1L,1593.34920853742,0.0219823387476197,0.692931374996405,0.804560367737241,True
12,ENSG00000001561,ENPP4,1830.89118685512,-0.083865992364675,0.48861782316784,0.644541214216587,True
13,ENSG00000001617,SEMA3F,325.516302545089,-0.0593592864550724,0.627969416488673,0.756365768164914,True
14,ENSG00000001626,CFTR,30.9405837526411,0.0270999347275261,0.801056170836421,0.87798548676337,True
15,ENSG00000001629,ANKIB1,2036.53747811951,-0.0039170979532188,0.954541824562864,0.976011149505553,True
16,ENSG00000001630,CYP51A1,3037.02168319318,-0.351559837700564,0.0009351855452544,0.0059613931082946,True
17,ENSG00000001631,KRIT1,1354.59627837016,-0.0436258658107897,0.613104558308427,0.745088210036746,True
18,ENSG00000002016,RAD52,295.414138348851,0.415707539710676,3.02916848333793e-05,0.0003594136982541,True
19,ENSG00000002330,BAD,422.253826083462,-0.0869825934938789,0.303134368061346,0.468196112870877,True
20,ENSG00000002549,LAP3,2609.09449210912,-0.265699491990079,0.0142670481319786,0.0501920739457047,True
21,ENSG00000002587,HS3ST1,707.513674504012,-0.596959937821076,7.83323592310642e-07,1.63924472886705e-05,True
22,ENSG00000002745,WNT16,NA,NA,NA,NA,False
23,ENSG00000002746,HECW1,1977.28534179531,-0.729239369304374,2.9727696999619903e-10,1.36954302257956e-08,True
24,ENSG00000002822,MAD1L1,626.589311997547,-0.198817848607643,0.0910809028955654,0.20100447722715,True
25,ENSG00000002834,LASP1,3920.98966520684,-0.102961484766676,0.277988891874061,0.440446748941807,True
26,ENSG00000002919,SNX11,670.912126756573,0.200764282171069,0.0336139308003353,0.0960750734292704,True
27,ENSG00000002933,TMEM176A,626.967713609073,0.69044077653388,0.0005960512256947,0.0041693750086556,True
28,ENSG00000003056,M6PR,3979.04967803217,0.0039079084972496,0.955933363618015,0.976825959881684,True
29,ENSG00000003096,KLHL13,2704.49052349119,-0.0342763182846656,0.774937030830006,0.860987900772878,True
30,ENSG00000003137,CYP26B1,554.285794827159,0.049870839353259,0.355140348234215,0.522104051401721,True
31,ENSG00000003147,ICA1,1193.83735605767,-0.0065700017128168,0.93424735493088,0.964302747883929,True
32,ENSG00000003249,DBNDD1,1155.64712343772,-1.16389926407833,3.38548020462399e-06,5.69240434940587e-05,True
33,ENSG00000003393,ALS2,1247.86797987481,0.26015805239259,0.0001462137345538,0.0013239237865254,True
34,ENSG00000003402,CFLAR,774.385903387599,0.265885393964539,0.0401060794431113,0.109870215891094,True
35,ENSG00000003436,TFPI,269.413650046752,0.248798051515515,0.0809883454739435,0.183649954594218,True
36,ENSG00000003509,NDUFAF7,1087.08207901059,0.0505760933938919,0.481846974781165,0.638868868411317,True
37,ENSG00000003756,RBM5,2971.01601465478,0.192141042572421,0.0349538248868582,0.099051299323876,True
38,ENSG00000003987,MTMR7,2303.30695302605,-0.406878946219184,0.001457866502822,0.0084965648776612,True
39,ENSG00000003989,SLC7A2,1283.59018055792,0.170729253099453,0.18450148228691,0.331875735515227,True
40,ENSG00000004059,ARF5,2053.71980042447,-0.0236570709926492,0.798917415146162,0.876743216481509,True
41,ENSG00000004139,SARM1,670.491949324348,0.0890806522146513,0.353948026457536,0.520777296298132,True
42,ENSG00000004142,POLDIP2,2800.72827152806,-0.217437231366464,0.000158944694698,0.001411756656227,True
43,ENSG00000004399,PLXND1,715.776930447315,0.425881379248567,0.0089483262132532,0.0348646526592586,True
44,ENSG00000004455,AK2,545.697186652867,0.0122354286703452,0.891503165005483,0.938097446189298,True
