node_index,gene_id,gene_symbol,mouse_gene_id,CPM_pass_primary,CPM_pass_validation,analysis_eligible_primary,analysis_eligible_validation,stat_de_v1_score,stat_de_v1_rank,string_rwr_v1_score,string_rwr_v1_rank,graph_degree,baseMean_primary,lfc_shrunk_primary,pvalue_primary,padj_primary,baseMean_validation,lfc_shrunk_validation,pvalue_validation,padj_validation
0,ENSG00000000003,TSPAN6,ENSMUSG00000067377,True,True,True,True,0.3131717040800973,3713,1.18830191824984e-05,7064,0,791.416613946803,0.303177963995792,0.0319704836893078,0.0926908191241182,739.951931618117,0.0568613995800379,0.193484996872478,0.476814728375254
1,ENSG00000000005,TNMD,ENSMUSG00000031250,False,False,False,False,NA,NA,0.0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2,ENSG00000000419,DPM1,ENSMUSG00000078919,True,True,True,True,0.00017083360822,12126,9.973250661824274e-07,11957,2,309.890647809387,0.0093109124759816,0.926069679890948,0.958632886587143,265.334767650885,0.0801006748268355,0.0873271861658086,0.320714518476994
3,ENSG00000000457,SCYL3,ENSMUSG00000026584,True,True,True,True,0.0011376186732772,11528,4.3165919336901454e-08,13467,0,582.790981821485,-0.0211088471203105,0.808220408001819,0.883297538359305,449.983218101752,0.0099346145921152,0.803490693730259,0.916937482736618
4,ENSG00000000460,FIRRM,ENSMUSG00000041406,True,True,True,True,0.0022442533442911,11147,8.515617852172434e-08,13297,0,36.2810866929115,-0.0340381551948189,0.772013139730618,0.859145144480192,35.5410492044431,0.0141065318825968,0.545454608233861,0.773543788259807
5,ENSG00000000938,FGR,ENSMUSG00000028874,False,False,False,False,NA,NA,0.0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
6,ENSG00000001036,FUCA2,ENSMUSG00000019810,True,True,True,True,0.178808470845122,4838,9.097257393778074e-06,7879,1,2007.7092870454,-0.178590433707378,0.0352589350201714,0.0997192772090613,1961.66791389532,0.0857320117692505,0.0773840229511296,0.302474754268318
7,ENSG00000001084,GCLC,ENSMUSG00000032350,True,True,True,True,0.0392658338068841,7796,5.5530458375418895e-06,9225,1,2042.11332089119,-0.0962967916954523,0.23226568769409,0.391058307112258,1815.24595865688,0.0586854519231659,0.164599954790319,0.439246140444887
8,ENSG00000001167,NFYA,ENSMUSG00000023994,True,True,True,True,0.1564136683268951,5121,3.236569635014057e-05,3791,5,603.748094820808,0.199958725558582,0.0698926027788744,0.165108802620192,561.214459874995,-0.0779042682251413,0.0924838758109021,0.330695953331199
9,ENSG00000001460,STPG1,ENSMUSG00000028801,False,True,False,True,NA,NA,0.0,NA,0,NA,NA,NA,NA,43.6488992360521,-0.0185197162060171,0.356228820095235,0.64206572753076
10,ENSG00000001461,NIPAL3,ENSMUSG00000028803,True,True,True,True,0.007934060919379,10069,3.010508193166113e-07,12812,0,4069.90336697122,-0.0550325616880056,0.579167586558003,0.71751287787037,4997.19653566857,0.0371990836118675,0.334393784654229,0.623343172721982
11,ENSG00000001497,LAS1L,ENSMUSG00000057421,True,True,True,True,0.0020760420635535,11201,1.9335655884597807e-05,5451,26,1593.34920853742,0.0219823387476197,0.692931374996405,0.804560367737241,1480.2275860117,0.0317246835404491,0.43919096663822,0.70084309391593
