node_index,gene_id,gene_symbol,mouse_gene_id,CPM_pass_primary,CPM_pass_validation,analysis_eligible_primary,analysis_eligible_validation,stat_de_v1_score,stat_de_v1_rank,string_rwr_v1_score,string_rwr_v1_rank,graph_degree
0,ENSG00000000003,TSPAN6,ENSMUSG00000067377,True,True,True,True,0.3131717040800973,3713,1.18830191824984e-05,7064,0
1,ENSG00000000005,TNMD,ENSMUSG00000031250,False,False,False,False,NA,NA,0.0,NA,0
2,ENSG00000000419,DPM1,ENSMUSG00000078919,True,True,True,True,0.00017083360822,12126,9.973250661824274e-07,11957,2
3,ENSG00000000457,SCYL3,ENSMUSG00000026584,True,True,True,True,0.0011376186732772,11528,4.3165919336901454e-08,13467,0
4,ENSG00000000460,FIRRM,ENSMUSG00000041406,True,True,True,True,0.0022442533442911,11147,8.515617852172434e-08,13297,0
5,ENSG00000000938,FGR,ENSMUSG00000028874,False,False,False,False,NA,NA,0.0,NA,0
6,ENSG00000001036,FUCA2,ENSMUSG00000019810,True,True,True,True,0.178808470845122,4838,9.097257393778074e-06,7879,1
7,ENSG00000001084,GCLC,ENSMUSG00000032350,True,True,True,True,0.0392658338068841,7796,5.5530458375418895e-06,9225,1
8,ENSG00000001167,NFYA,ENSMUSG00000023994,True,True,True,True,0.1564136683268951,5121,3.236569635014057e-05,3791,5
9,ENSG00000001460,STPG1,ENSMUSG00000028801,False,True,False,True,NA,NA,0.0,NA,0
10,ENSG00000001461,NIPAL3,ENSMUSG00000028803,True,True,True,True,0.007934060919379,10069,3.010508193166113e-07,12812,0
11,ENSG00000001497,LAS1L,ENSMUSG00000057421,True,True,True,True,0.0020760420635535,11201,1.9335655884597807e-05,5451,26
12,ENSG00000001561,ENPP4,ENSMUSG00000023961,True,True,True,True,0.0159973799342022,9214,1.208219841580784e-06,11770,1
13,ENSG00000001617,SEMA3F,ENSMUSG00000034684,True,True,True,True,0.0071983899524009,10176,3.0075636671071677e-05,4018,4
14,ENSG00000001626,CFTR,ENSMUSG00000041301,True,True,True,True,0.0015314894783045,11386,2.755458907411437e-05,4298,20
15,ENSG00000001629,ANKIB1,ENSMUSG00000040351,True,True,True,True,4.130666407786792e-05,12337,1.5673442881569595e-09,13772,0
16,ENSG00000001630,CYP51A1,ENSMUSG00000001467,True,True,True,True,0.7820983800217872,2114,3.894213364208422e-05,3276,1
17,ENSG00000001631,KRIT1,ENSMUSG00000000600,True,True,True,True,0.0055750501084551,10445,3.202395878155468e-05,3827,7
18,ENSG00000002016,RAD52,ENSMUSG00000030166,True,True,True,True,1.431865284100604,1359,5.965700103029484e-05,2275,9
19,ENSG00000002330,BAD,ENSMUSG00000024959,True,True,True,True,0.0286670443768007,8304,1.8858524766041268e-05,5523,8
20,ENSG00000002549,LAP3,ENSMUSG00000039682,True,True,True,True,0.345240582898104,3503,1.6787700207725766e-05,5890,1
21,ENSG00000002587,HS3ST1,ENSMUSG00000051022,True,True,True,True,2.856665942093384,768,0.0001083936247931,1237,0
22,ENSG00000002745,WNT16,ENSMUSG00000029671,False,False,False,False,NA,NA,9.351910082266373e-06,NA,4
23,ENSG00000002746,HECW1,ENSMUSG00000021301,True,True,True,True,5.734318591942195,377,0.0002204757656975,560,1
24,ENSG00000002822,MAD1L1,ENSMUSG00000029554,True,True,True,True,0.1385351374610667,5382,1.129786910372767e-05,7241,13
25,ENSG00000002834,LASP1,ENSMUSG00000038366,True,True,True,True,0.0366652633767408,7915,5.791305532540436e-06,9121,2
