source_node_index,target_node_index,source_gene_id,target_gene_id,weight,combined_score,source_edge_multiplicity
2,6559,ENSG00000000419,ENSG00000136908,0.994,994,2
2,12481,ENSG00000000419,ENSG00000179085,0.995,995,2
6,12494,ENSG00000001036,ENSG00000179163,0.916,916,2
7,402,ENSG00000001084,ENSG00000023909,0.999,999,2
8,886,ENSG00000001167,ENSG00000066136,0.999,999,2
8,2078,ENSG00000001167,ENSG00000100393,0.753,753,2
8,4624,ENSG00000001167,ENSG00000120837,0.999,999,2
8,10908,ENSG00000001167,ENSG00000168556,0.9,900,2
8,13357,ENSG00000001167,ENSG00000185591,0.716,716,2
11,409,ENSG00000001497,ENSG00000025293,0.9,900,2
11,843,ENSG00000001497,ENSG00000065268,0.961,961,2
11,2174,ENSG00000001497,ENSG00000100888,0.9,900,2
11,2562,ENSG00000001497,ENSG00000103510,0.9,900,2
11,2841,ENSG00000001497,ENSG00000105618,0.9,900,2
11,2964,ENSG00000001497,ENSG00000106290,0.9,900,2
11,4255,ENSG00000001497,ENSG00000117222,0.9,900,2
11,4335,ENSG00000001497,ENSG00000118058,0.9,900,2
11,4544,ENSG00000001497,ENSG00000120071,0.9,900,2
11,4674,ENSG00000001497,ENSG00000121481,0.9,900,2
11,5170,ENSG00000001497,ENSG00000125952,0.9,900,2
11,5640,ENSG00000001497,ENSG00000130699,0.9,900,2
11,6556,ENSG00000001497,ENSG00000136891,0.994,994,2
11,7241,ENSG00000001497,ENSG00000141456,0.993,993,2
11,8585,ENSG00000001497,ENSG00000153391,0.9,900,2
11,9434,ENSG00000001497,ENSG00000161956,0.986,986,2
11,9494,ENSG00000001497,ENSG00000162408,0.971,971,2
11,10989,ENSG00000001497,ENSG00000169016,0.9,900,2
11,11601,ENSG00000001497,ENSG00000172534,0.9,900,2
11,11838,ENSG00000001497,ENSG00000174197,0.9,900,2
11,12067,ENSG00000001497,ENSG00000175792,0.9,900,2
11,12454,ENSG00000001497,ENSG00000178913,0.9,900,2
11,12982,ENSG00000001497,ENSG00000183207,0.9,900,2
11,13656,ENSG00000001497,ENSG00000187778,0.9,900,2
11,13949,ENSG00000001497,ENSG00000196363,0.912,912,2
11,15419,ENSG00000001497,ENSG00000258315,0.9,900,2
12,13876,ENSG00000001561,ENSG00000189283,0.9,900,2
13,1900,ENSG00000001617,ENSG00000099250,0.955,955,2
13,3900,ENSG00000001617,ENSG00000114554,0.925,925,2
13,4352,ENSG00000001617,ENSG00000118257,0.986,986,2
13,5681,ENSG00000001617,ENSG00000130827,0.971,971,2
14,579,ENSG00000001626,ENSG00000047932,0.962,962,2
14,835,ENSG00000001626,ENSG00000065054,0.84,840,2
14,1399,ENSG00000001626,ENSG00000080824,0.932,932,2
14,1814,ENSG00000001626,ENSG00000092820,0.771,771,2
14,1883,ENSG00000001626,ENSG00000096384,0.889,889,2
14,2513,ENSG00000001626,ENSG00000103194,0.83,830,2
14,2602,ENSG00000001626,ENSG00000104067,0.905,905,2
14,3276,ENSG00000001626,ENSG00000109062,0.999,999,2
14,3373,ENSG00000001626,ENSG00000109971,0.782,782,2
14,5275,ENSG00000001626,ENSG00000127022,0.801,801,2
14,6576,ENSG00000001626,ENSG00000136986,0.717,717,2
14,8406,ENSG00000001626,ENSG00000151704,0.735,735,2
14,10130,ENSG00000001626,ENSG00000164924,0.901,901,2
14,10208,ENSG00000001626,ENSG00000165280,0.716,716,2
14,10567,ENSG00000001626,ENSG00000166913,0.907,907,2
14,11169,ENSG00000001626,ENSG00000170027,0.901,901,2
14,11877,ENSG00000001626,ENSG00000174502,0.7,700,2
14,11919,ENSG00000001626,ENSG00000174827,0.863,863,2
14,14052,ENSG00000001626,ENSG00000196924,0.944,944,2
14,14578,ENSG00000001626,ENSG00000204308,0.879,879,2
16,6062,ENSG00000001630,ENSG00000133935,0.796,796,2
17,3866,ENSG00000001631,ENSG00000114209,0.787,787,2
