node_index,gene_id,gene_symbol,graph_degree
0,ENSG00000000003,TSPAN6,0
1,ENSG00000000005,TNMD,0
2,ENSG00000000419,DPM1,2
3,ENSG00000000457,SCYL3,0
4,ENSG00000000460,FIRRM,0
5,ENSG00000000938,FGR,0
6,ENSG00000001036,FUCA2,1
7,ENSG00000001084,GCLC,1
8,ENSG00000001167,NFYA,5
9,ENSG00000001460,STPG1,0
10,ENSG00000001461,NIPAL3,0
11,ENSG00000001497,LAS1L,26
12,ENSG00000001561,ENPP4,1
13,ENSG00000001617,SEMA3F,4
14,ENSG00000001626,CFTR,20
15,ENSG00000001629,ANKIB1,0
16,ENSG00000001630,CYP51A1,1
17,ENSG00000001631,KRIT1,7
18,ENSG00000002016,RAD52,9
19,ENSG00000002330,BAD,8
20,ENSG00000002549,LAP3,1
21,ENSG00000002587,HS3ST1,0
22,ENSG00000002745,WNT16,4
23,ENSG00000002746,HECW1,1
24,ENSG00000002822,MAD1L1,13
25,ENSG00000002834,LASP1,2
26,ENSG00000002919,SNX11,0
27,ENSG00000002933,TMEM176A,0
28,ENSG00000003056,M6PR,4
29,ENSG00000003096,KLHL13,33
30,ENSG00000003137,CYP26B1,2
31,ENSG00000003147,ICA1,2
32,ENSG00000003249,DBNDD1,0
33,ENSG00000003393,ALS2,1
34,ENSG00000003402,CFLAR,14
35,ENSG00000003436,TFPI,3
36,ENSG00000003509,NDUFAF7,1
37,ENSG00000003756,RBM5,23
38,ENSG00000003987,MTMR7,1
39,ENSG00000003989,SLC7A2,0
40,ENSG00000004059,ARF5,0
41,ENSG00000004139,SARM1,4
42,ENSG00000004142,POLDIP2,2
43,ENSG00000004399,PLXND1,8
44,ENSG00000004455,AK2,0
45,ENSG00000004468,CD38,3
46,ENSG00000004478,FKBP4,21
47,ENSG00000004487,KDM1A,70
48,ENSG00000004534,RBM6,0
49,ENSG00000004660,CAMKK1,2
50,ENSG00000004700,RECQL,1
51,ENSG00000004766,VPS50,3
52,ENSG00000004776,HSPB6,4
53,ENSG00000004777,ARHGAP33,0
54,ENSG00000004779,NDUFAB1,133
55,ENSG00000004799,PDK4,4
56,ENSG00000004838,ZMYND10,0
57,ENSG00000004846,ABCB5,1
58,ENSG00000004848,ARX,0
59,ENSG00000004864,SLC25A13,1
60,ENSG00000004866,ST7,0
61,ENSG00000004897,CDC27,49
62,ENSG00000004939,SLC4A1,6
63,ENSG00000004948,CALCR,0
64,ENSG00000004961,HCCS,0
65,ENSG00000004975,DVL2,33
66,ENSG00000005001,PRSS22,0
67,ENSG00000005007,UPF1,34
68,ENSG00000005020,SKAP2,4
69,ENSG00000005022,SLC25A5,28
70,ENSG00000005059,MCUB,6
71,ENSG00000005073,HOXA11,1
72,ENSG00000005100,DHX33,6
73,ENSG00000005102,MEOX1,0
74,ENSG00000005108,THSD7A,0
75,ENSG00000005156,LIG3,9
76,ENSG00000005175,RPAP3,13
77,ENSG00000005187,ACSM3,0
78,ENSG00000005189,REXO5,1
79,ENSG00000005194,CIAPIN1,2
80,ENSG00000005206,SPPL2B,0
81,ENSG00000005238,ATOSB,0
82,ENSG00000005243,COPZ2,12
83,ENSG00000005249,PRKAR2B,8
84,ENSG00000005302,MSL3,29
85,ENSG00000005339,CREBBP,86
86,ENSG00000005379,TSPOAP1,3
87,ENSG00000005381,MPO,13
88,ENSG00000005421,PON1,19
89,ENSG00000005436,GCFC2,6
90,ENSG00000005448,WDR54,0
91,ENSG00000005469,CROT,0
92,ENSG00000005471,ABCB4,0
93,ENSG00000005483,KMT2E,3
94,ENSG00000005486,RHBDD2,0
95,ENSG00000005513,SOX8,0
96,ENSG00000005700,IBTK,0
97,ENSG00000005810,MYCBP2,8
98,ENSG00000005812,FBXL3,4
99,ENSG00000005844,ITGAL,25
100,ENSG00000005882,PDK2,5
101,ENSG00000005884,ITGA3,23
102,ENSG00000005889,ZFX,0
103,ENSG00000005893,LAMP2,5
104,ENSG00000005961,ITGA2B,20
105,ENSG00000005981,ASB4,16
106,ENSG00000006007,GDE1,1
107,ENSG00000006015,REX1BD,0
108,ENSG00000006016,CRLF1,3
109,ENSG00000006025,OSBPL7,0
110,ENSG00000006042,TMEM98,1
111,ENSG00000006047,YBX2,0
112,ENSG00000006062,MAP3K14,6
113,ENSG00000006071,ABCC8,5
114,ENSG00000006116,CACNG3,42
115,ENSG00000006118,TMEM132A,0
116,ENSG00000006125,AP2B1,50
117,ENSG00000006128,TAC1,5
118,ENSG00000006194,ZNF263,0
119,ENSG00000006210,CX3CL1,21
120,ENSG00000006282,SPATA20,0
121,ENSG00000006283,CACNA1G,7
122,ENSG00000006377,DLX6,1
123,ENSG00000006432,MAP3K9,0
124,ENSG00000006451,RALA,9
125,ENSG00000006453,BAIAP2L1,1
126,ENSG00000006459,KDM7A,0
127,ENSG00000006468,ETV1,0
128,ENSG00000006530,AGK,4
129,ENSG00000006534,ALDH3B1,1
130,ENSG00000006555,TTC22,0
131,ENSG00000006576,PHTF2,0
132,ENSG00000006607,FARP2,3
133,ENSG00000006611,USH1C,10
134,ENSG00000006625,GGCT,0
135,ENSG00000006634,DBF4,13
136,ENSG00000006638,TBXA2R,5
137,ENSG00000006652,IFRD1,2
138,ENSG00000006695,COX10,2
139,ENSG00000006704,GTF2IRD1,1
140,ENSG00000006712,PAF1,57
141,ENSG00000006715,VPS41,9
142,ENSG00000006740,ARHGAP44,0
143,ENSG00000006744,ELAC2,1
144,ENSG00000006747,SCIN,8
145,ENSG00000006788,MYH13,14
146,ENSG00000006831,ADIPOR2,3
147,ENSG00000006837,CDKL3,0
148,ENSG00000007001,UPP2,2
149,ENSG00000007047,MARK4,9
150,ENSG00000007062,PROM1,1
151,ENSG00000007080,CCDC124,59
152,ENSG00000007168,PAFAH1B1,21
153,ENSG00000007171,NOS2,5
154,ENSG00000007174,DNAH9,0
155,ENSG00000007202,BLTP2,0
156,ENSG00000007216,SLC13A2,0
157,ENSG00000007237,GAS7,0
158,ENSG00000007255,TRAPPC6A,12
159,ENSG00000007264,MATK,4
160,ENSG00000007312,CD79B,6
161,ENSG00000007314,SCN4A,15
162,ENSG00000007341,ST7L,0
163,ENSG00000007350,TKTL1,2
164,ENSG00000007372,PAX6,13
165,ENSG00000007376,RPUSD1,0
166,ENSG00000007384,RHBDF1,0
167,ENSG00000007392,LUC7L,15
168,ENSG00000007402,CACNA2D2,10
169,ENSG00000007516,BAIAP3,0
170,ENSG00000007520,TSR3,0
171,ENSG00000007541,PIGQ,5
172,ENSG00000007545,CRAMP1,0
173,ENSG00000007866,TEAD3,6
174,ENSG00000007908,SELE,9
175,ENSG00000007923,DNAJC11,18
176,ENSG00000007933,FMO3,0
177,ENSG00000007944,MYLIP,1
178,ENSG00000007952,NOX1,22
179,ENSG00000007968,E2F2,5
180,ENSG00000008018,PSMB1,48
181,ENSG00000008056,SYN1,11
182,ENSG00000008083,JARID2,12
183,ENSG00000008086,CDKL5,0
184,ENSG00000008118,CAMK1G,1
185,ENSG00000008130,NADK,0
186,ENSG00000008196,TFAP2B,3
187,ENSG00000008197,TFAP2D,1
188,ENSG00000008226,DLEC1,0
189,ENSG00000008256,CYTH3,1
190,ENSG00000008277,ADAM22,8
191,ENSG00000008282,SYPL1,0
192,ENSG00000008283,CYB561,0
193,ENSG00000008294,SPAG9,2
194,ENSG00000008300,CELSR3,0
195,ENSG00000008311,AASS,0
196,ENSG00000008323,PLEKHG6,0
197,ENSG00000008324,SS18L2,0
198,ENSG00000008382,MPND,0
199,ENSG00000008394,MGST1,0
200,ENSG00000008405,CRY1,10
201,ENSG00000008438,PGLYRP1,1
202,ENSG00000008441,NFIX,0
203,ENSG00000008513,ST3GAL1,1
204,ENSG00000008516,MMP25,0
205,ENSG00000008710,PKD1,3
206,ENSG00000008735,MAPK8IP2,12
207,ENSG00000008838,MED24,73
208,ENSG00000008853,RHOBTB2,5
209,ENSG00000008869,HEATR5B,0
210,ENSG00000008952,SEC62,3
211,ENSG00000008988,RPS20,108
212,ENSG00000009307,CSDE1,7
213,ENSG00000009335,UBE3C,0
214,ENSG00000009413,REV3L,18
215,ENSG00000009694,TENM1,3
216,ENSG00000009709,PAX7,2
217,ENSG00000009724,MASP2,6
218,ENSG00000009765,IYD,0
219,ENSG00000009780,FAM76A,0
220,ENSG00000009790,TRAF3IP3,20
221,ENSG00000009830,POMT2,1
222,ENSG00000009844,VTA1,7
223,ENSG00000009950,MLXIPL,5
224,ENSG00000009954,BAZ1B,17
225,ENSG00000010017,RANBP9,10
226,ENSG00000010072,SPRTN,4
227,ENSG00000010165,METTL13,2
228,ENSG00000010219,DYRK4,0
229,ENSG00000010244,ZNF207,2
230,ENSG00000010256,UQCRC1,61
231,ENSG00000010270,STARD3NL,2
232,ENSG00000010278,CD9,22
233,ENSG00000010282,HHATL,0
234,ENSG00000010292,NCAPD2,5
235,ENSG00000010295,IFFO1,1
236,ENSG00000010310,GIPR,4
237,ENSG00000010318,PHF7,0
238,ENSG00000010319,SEMA3G,1
239,ENSG00000010322,NISCH,1
240,ENSG00000010327,STAB1,2
241,ENSG00000010361,FUZ,3
242,ENSG00000010379,SLC6A13,1
243,ENSG00000010404,IDS,0
244,ENSG00000010610,CD4,25
245,ENSG00000010626,LRRC23,0
246,ENSG00000010671,BTK,21
247,ENSG00000010704,HFE,5
248,ENSG00000010803,SCMH1,11
249,ENSG00000010810,FYN,75
250,ENSG00000010818,HIVEP2,0
251,ENSG00000010932,FMO1,0
252,ENSG00000011007,ELOA,36
253,ENSG00000011009,LYPLA2,3
254,ENSG00000011021,CLCN6,0
255,ENSG00000011028,MRC2,2
256,ENSG00000011083,SLC6A7,0
257,ENSG00000011105,TSPAN9,0
258,ENSG00000011114,BTBD7,0
259,ENSG00000011132,APBA3,2
260,ENSG00000011143,MKS1,13
261,ENSG00000011198,ABHD5,3
262,ENSG00000011243,AKAP8L,2
263,ENSG00000011258,MBTD1,30
264,ENSG00000011260,UTP18,66
265,ENSG00000011275,RNF216,4
266,ENSG00000011295,TTC19,0
267,ENSG00000011304,PTBP1,17
268,ENSG00000011332,DPF1,22
269,ENSG00000011347,SYT7,2
270,ENSG00000011376,LARS2,11
271,ENSG00000011405,PIK3C2A,6
272,ENSG00000011422,PLAUR,6
273,ENSG00000011426,ANLN,6
274,ENSG00000011451,WIZ,0
275,ENSG00000011454,RABGAP1,2
276,ENSG00000011465,DCN,45
277,ENSG00000011478,QPCTL,0
278,ENSG00000011485,PPP5C,26
279,ENSG00000011523,CEP68,0
280,ENSG00000011566,MAP4K3,1
281,ENSG00000011590,ZBTB32,0
282,ENSG00000011600,TYROBP,17
283,ENSG00000011638,LDAF1,0
284,ENSG00000011677,GABRA3,6
285,ENSG00000012048,BRCA1,131
286,ENSG00000012061,ERCC1,33
287,ENSG00000012124,CD22,6
288,ENSG00000012171,SEMA3B,4
289,ENSG00000012174,MBTPS2,0
290,ENSG00000012211,PRICKLE3,5
291,ENSG00000012223,LTF,15
292,ENSG00000012232,EXTL3,2
