gene_id	reactome	gobp
ENSG00000000003		GO:0039532|GO:0043123|GO:0043124
ENSG00000000005		GO:0001937|GO:0016525
ENSG00000000419	R-HSA-162699|R-HSA-163125|R-HSA-1643685|R-HSA-3781865|R-HSA-392499|R-HSA-446193|R-HSA-446203|R-HSA-446219|R-HSA-4717374|R-HSA-4719360|R-HSA-4719377|R-HSA-5609975|R-HSA-5663205|R-HSA-5668914|R-HSA-597592|R-HSA-9824446|R-HSA-9839923|R-HSA-9918432|R-HSA-9918487	GO:0006488|GO:0006506|GO:0035269|GO:0043048|GO:0180047
ENSG00000000460	R-HSA-1474165|R-HSA-1500620|R-HSA-1640170|R-HSA-2500257|R-HSA-5685942|R-HSA-5693532|R-HSA-5693537|R-HSA-5693538|R-HSA-5693567|R-HSA-5693568|R-HSA-68877|R-HSA-68886|R-HSA-69278|R-HSA-73894|R-HSA-912446	GO:0000278|GO:0007059|GO:0036297|GO:0045859|GO:1990918|GO:1990986|GO:2000042
ENSG00000000938	R-HSA-109582|R-HSA-1643685|R-HSA-168249|R-HSA-168256|R-HSA-2029480|R-HSA-2029481|R-HSA-418346|R-HSA-432142|R-HSA-5663205|R-HSA-6798695|R-HSA-9658195|R-HSA-9662851|R-HSA-9664323|R-HSA-9664407|R-HSA-9664417|R-HSA-9664422|R-HSA-9664433|R-HSA-9824443	GO:0001819|GO:0002768|GO:0002862|GO:0006468|GO:0007169|GO:0007229|GO:0008360|GO:0009615|GO:0018108|GO:0030154|GO:0030335|GO:0038096|GO:0043306|GO:0045088|GO:0045859|GO:0046777|GO:0050764|GO:0050830|GO:0051897
ENSG00000001036	R-HSA-168249|R-HSA-168256|R-HSA-381426|R-HSA-392499|R-HSA-597592|R-HSA-6798695|R-HSA-8957275	GO:0006004|GO:0009617|GO:0016139|GO:2000535
ENSG00000001084	R-HSA-1430728|R-HSA-156580|R-HSA-156590|R-HSA-1643685|R-HSA-174403|R-HSA-211859|R-HSA-2262752|R-HSA-5578999|R-HSA-5579029|R-HSA-5668914|R-HSA-8953897|R-HSA-9711123|R-HSA-9755511|R-HSA-9759194|R-HSA-9818027	GO:0006536|GO:0006750|GO:0006979|GO:0009408|GO:0009725|GO:0043066|GO:0045454|GO:0045892|GO:0097746
ENSG00000001167	R-HSA-1430728|R-HSA-1655829|R-HSA-1989781|R-HSA-212436|R-HSA-2262752|R-HSA-2426168|R-HSA-380994|R-HSA-381033|R-HSA-381042|R-HSA-381119|R-HSA-381183|R-HSA-400206|R-HSA-556833|R-HSA-73857|R-HSA-74160|R-HSA-8953897|R-HSA-8957322|R-HSA-9614085|R-HSA-9614657	GO:0006355|GO:0006357|GO:0006366|GO:0045893|GO:0045944
ENSG00000001460		GO:0043065|GO:1902110
ENSG00000001461	R-HSA-382551|R-HSA-5223345	GO:0015693
ENSG00000001497	R-HSA-6791226|R-HSA-72312|R-HSA-8868773|R-HSA-8953854	GO:0000460|GO:0000470|GO:0006364
ENSG00000001561	R-HSA-168249|R-HSA-168256|R-HSA-6798695	GO:0030194|GO:0046130
ENSG00000001617		GO:0001755|GO:0007411|GO:0021612|GO:0021637|GO:0021675|GO:0021785|GO:0030335|GO:0048846|GO:0050919|GO:0061549|GO:0071526|GO:0097490|GO:0097491
ENSG00000001626	R-HSA-162582|R-HSA-1632852|R-HSA-1643685|R-HSA-194315|R-HSA-195258|R-HSA-199991|R-HSA-382551|R-HSA-382556|R-HSA-392499|R-HSA-5619084|R-HSA-5619115|R-HSA-5627083|R-HSA-5653656|R-HSA-5678895|R-HSA-5688426|R-HSA-5689880|R-HSA-597592|R-HSA-8856825|R-HSA-8856828|R-HSA-9012999|R-HSA-9013406|R-HSA-9612973|R-HSA-9613829|R-HSA-9615710|R-HSA-9646399|R-HSA-9663891|R-HSA-9716542	GO:0006833|GO:0015701|GO:0034976|GO:0035377|GO:0048240|GO:0050891|GO:0051454|GO:0055085|GO:0060081|GO:0070175|GO:0071320|GO:0097186|GO:1902476|GO:1904322
ENSG00000001629		GO:0006511
ENSG00000001630	R-HSA-1266738|R-HSA-1430728|R-HSA-1655829|R-HSA-191273|R-HSA-211859|R-HSA-211897|R-HSA-211945|R-HSA-211976|R-HSA-2426168|R-HSA-556833|R-HSA-6807047|R-HSA-6807062|R-HSA-8957322|R-HSA-9619665|R-HSA-9675108	GO:0006694|GO:0006695|GO:0016125|GO:0042177|GO:0050709|GO:1900222
ENSG00000001631		GO:0001937|GO:0007264|GO:0010596|GO:0016525|GO:0033622|GO:0045454|GO:2000114|GO:2000352
ENSG00000002016	R-HSA-2990846|R-HSA-3108214|R-HSA-3108232|R-HSA-392499|R-HSA-5685938|R-HSA-5685939|R-HSA-5693532|R-HSA-5693538|R-HSA-5693567|R-HSA-597592|R-HSA-73894	GO:0000723|GO:0000724|GO:0006302|GO:0006310|GO:0006312|GO:0010792|GO:0034599|GO:0045002|GO:2000819
ENSG00000002330	R-HSA-109581|R-HSA-109606|R-HSA-111447|R-HSA-111453|R-HSA-114452|R-HSA-1257604|R-HSA-162582|R-HSA-1643685|R-HSA-193648|R-HSA-193704|R-HSA-198323|R-HSA-204998|R-HSA-2219528|R-HSA-5357801|R-HSA-5663202|R-HSA-5674400|R-HSA-73887|R-HSA-9006925	GO:0006915|GO:0010508|GO:0010918|GO:0032024|GO:0042593|GO:0043065|GO:0043066|GO:0044342|GO:0045862|GO:0046031|GO:0046034|GO:0046902|GO:0046931|GO:0050679|GO:0071260|GO:0071316|GO:0071456|GO:0090200|GO:0097191|GO:0097193|GO:2000078
ENSG00000002549		GO:0006508
ENSG00000002587	R-HSA-1430728|R-HSA-1630316|R-HSA-1638091|R-HSA-2022928|R-HSA-71387	GO:0006024|GO:0015012
ENSG00000002745	R-HSA-162582|R-HSA-195721|R-HSA-3238698|R-HSA-372790|R-HSA-373080|R-HSA-500792	GO:0003408|GO:0010628|GO:0016055|GO:0030182|GO:0030216|GO:0043616|GO:0045165|GO:0046330|GO:0051897|GO:0060070|GO:0090399|GO:0090403|GO:2001234
ENSG00000002746	R-HSA-162582|R-HSA-195721|R-HSA-201681|R-HSA-4641258	GO:0006511|GO:0048814|GO:0090090
ENSG00000002822	R-HSA-141424|R-HSA-141444|R-HSA-162582|R-HSA-1640170|R-HSA-194315|R-HSA-195258|R-HSA-2467813|R-HSA-2500257|R-HSA-2555396|R-HSA-5663220|R-HSA-68877|R-HSA-68882|R-HSA-68886|R-HSA-69278|R-HSA-69618|R-HSA-69620|R-HSA-9648025|R-HSA-9716542	GO:0007094|GO:0051315|GO:0090235|GO:0090267|GO:1902426
ENSG00000002834		GO:0006811
ENSG00000002919		GO:0016050
ENSG00000002933		GO:2001199
ENSG00000003056	R-HSA-1430728|R-HSA-1660662|R-HSA-199991|R-HSA-199992|R-HSA-428157|R-HSA-432720|R-HSA-556833|R-HSA-5653656|R-HSA-6811440|R-HSA-6811442|R-HSA-8856825|R-HSA-8856828|R-HSA-9840310	GO:0006622|GO:0007041|GO:0046479|GO:0090160
ENSG00000003096	R-HSA-1280218|R-HSA-168256|R-HSA-392499|R-HSA-597592|R-HSA-8951664|R-HSA-983168|R-HSA-983169	GO:0016567|GO:0032465|GO:0043161
