source	pathway_id	pathway_name	bg_eligible_genes
GO_BP	GO:0000012	single strand break repair	11
GO_BP	GO:0000018	regulation of DNA recombination	2
GO_BP	GO:0000019	regulation of mitotic recombination	2
GO_BP	GO:0000022	mitotic spindle elongation	1
GO_BP	GO:0000027	ribosomal large subunit assembly	8
GO_BP	GO:0000028	ribosomal small subunit assembly	7
GO_BP	GO:0000038	very long-chain fatty acid metabolic process	10
GO_BP	GO:0000045	autophagosome assembly	53
GO_BP	GO:0000050	urea cycle	5
GO_BP	GO:0000054	ribosomal subunit export from nucleus	4
GO_BP	GO:0000055	ribosomal large subunit export from nucleus	5
GO_BP	GO:0000056	ribosomal small subunit export from nucleus	5
GO_BP	GO:0000070	mitotic sister chromatid segregation	20
GO_BP	GO:0000076	DNA replication checkpoint signaling	9
GO_BP	GO:0000077	DNA damage checkpoint signaling	32
GO_BP	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	16
GO_BP	GO:0000082	G1/S transition of mitotic cell cycle	46
GO_BP	GO:0000086	G2/M transition of mitotic cell cycle	34
GO_BP	GO:0000096	sulfur amino acid metabolic process	1
GO_BP	GO:0000098	sulfur amino acid catabolic process	4
GO_BP	GO:0000103	sulfate assimilation	2
GO_BP	GO:0000122	negative regulation of transcription by RNA polymerase II	533
GO_BP	GO:0000132	establishment of mitotic spindle orientation	22
GO_BP	GO:0000154	rRNA modification	4
GO_BP	GO:0000165	MAPK cascade	62
GO_BP	GO:0000183	rDNA heterochromatin formation	5
GO_BP	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	20
GO_BP	GO:0000209	protein polyubiquitination	103
GO_BP	GO:0000212	meiotic spindle organization	3
GO_BP	GO:0000226	microtubule cytoskeleton organization	97
GO_BP	GO:0000244	spliceosomal tri-snRNP complex assembly	8
GO_BP	GO:0000245	spliceosomal complex assembly	18
GO_BP	GO:0000255	allantoin metabolic process	3
GO_BP	GO:0000266	mitochondrial fission	13
GO_BP	GO:0000271	polysaccharide biosynthetic process	5
GO_BP	GO:0000278	mitotic cell cycle	71
GO_BP	GO:0000281	mitotic cytokinesis	40
GO_BP	GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	11
GO_BP	GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening	11
GO_BP	GO:0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA	6
GO_BP	GO:0000292	RNA fragment catabolic process	1
GO_BP	GO:0000296	spermine transport	2
GO_BP	GO:0000301	retrograde transport, vesicle recycling within Golgi	8
GO_BP	GO:0000302	response to reactive oxygen species	9
GO_BP	GO:0000303	response to superoxide	2
GO_BP	GO:0000304	response to singlet oxygen	1
GO_BP	GO:0000305	response to oxygen radical	1
GO_BP	GO:0000338	protein deneddylation	11
GO_BP	GO:0000349	generation of catalytic spliceosome for first transesterification step	1
GO_BP	GO:0000350	generation of catalytic spliceosome for second transesterification step	2
GO_BP	GO:0000375	RNA splicing, via transesterification reactions	20
GO_BP	GO:0000379	tRNA-type intron splice site recognition and cleavage	4
GO_BP	GO:0000380	alternative mRNA splicing, via spliceosome	17
GO_BP	GO:0000381	regulation of alternative mRNA splicing, via spliceosome	59
GO_BP	GO:0000387	spliceosomal snRNP assembly	24
GO_BP	GO:0000388	spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)	1
GO_BP	GO:0000389	mRNA 3'-splice site recognition	6
GO_BP	GO:0000390	spliceosomal complex disassembly	2
GO_BP	GO:0000394	RNA splicing, via endonucleolytic cleavage and ligation	2
GO_BP	GO:0000395	mRNA 5'-splice site recognition	6
GO_BP	GO:0000398	mRNA splicing, via spliceosome	112
GO_BP	GO:0000413	protein peptidyl-prolyl isomerization	2
GO_BP	GO:0000422	autophagy of mitochondrion	16
GO_BP	GO:0000423	mitophagy	39
GO_BP	GO:0000425	pexophagy	12
GO_BP	GO:0000435	positive regulation of transcription from RNA polymerase II promoter by galactose	1
GO_BP	GO:0000447	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	7
GO_BP	GO:0000448	cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1
GO_BP	GO:0000451	rRNA 2'-O-methylation	2
GO_BP	GO:0000454	snoRNA guided rRNA pseudouridine synthesis	2
GO_BP	GO:0000455	enzyme-directed rRNA pseudouridine synthesis	6
GO_BP	GO:0000460	maturation of 5.8S rRNA	12
GO_BP	GO:0000461	endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1
GO_BP	GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	18
GO_BP	GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	11
GO_BP	GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	4
GO_BP	GO:0000467	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	8
GO_BP	GO:0000470	maturation of LSU-rRNA	8
GO_BP	GO:0000472	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	2
GO_BP	GO:0000479	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	3
